Sub_tariff,6_digits,CIIU4,description,avgtariff
207330000,20733,1011,"Carne de pato, ganso o pintada, sin trocear, congelada.",
207340000,20734,1011,"Hígados grasos de pato, ganso o pintada, frescos o refrigerados.",
207340000,20734,1011,"Hígados grasos de pato, ganso o pintada, frescos o refrigerados.",
207350000,20735,1011,"Las demás carnes y despojos comestibles de pato, ganso o pintada, frescos o refrigerados.",
207350000,20735,1011,"Las demás carnes y despojos comestibles de pato, ganso o pintada, frescos o refrigerados.",
207360000,20736,1011,"Las demás carnes y despojos comestibles de pato, ganso o pintada, congelados.",
207360000,20736,1011,"Las demás carnes y despojos comestibles de pato, ganso o pintada, congelados.",
207390000,20739,1011,"Los demás trozos y despojos comestibles de aves (incluidos los hígados), frescos o refrigerados.",
207410000,20741,1011,"Carnes de pato sin trocear, frescas o refrigeradas",0.200000003
207410000,20741,1011,"Carnes de pato sin trocear, frescas o refrigeradas",0.200000003
207420000,20742,1011,"Carnes de pato sin trocear, congelados",0.200000003
207420000,20742,1011,"Carnes de pato sin trocear, congelados",0.200000003
207430000,20743,1011,"Hígados grasos de pato, frescos o refrigerados",0.200000003
207430000,20743,1011,"Hígados grasos de pato, frescos o refrigerados",0.200000003
207440000,20744,1011,"Las demás carnes y despojos comestibles de pato, frescos o refrigerados.",0.200000003
207450000,20745,1011,"Las demás carnes y  despojos comestibles de pato, congelados.",0.200000003
207500000,20750,1011,"Hígados de ave, congelados.",
207510000,20751,1011,"Carne de ganso sin trocear, fresca o refrigerada.",0.200000003
207520000,20752,1011,"Carne de ganso sin trocear, congelada",0.200000003
207530000,20753,1011,"Hígados grasos de ganso, frescos o refrigerados",0.200000003
207540000,20754,1011,"Las demás carnes y despojos comestibles de ganso, frescos o refrigerados",0.200000003
207550000,20755,1011,"Las demás carnes y despojos comestibles de ganso, congelados.",0.200000003
207600000,20760,1011,"Carne y despojos comestibles de pintada, frescos, refrigerados o congelados. ",0.200000003
208100000,20810,1011,"Carnes y despojos comestibles de conejo o liebre, frescos, refrigerados o congelados.",0.150000006
208100000,20810,1011,"Carnes y despojos comestibles de conejo o liebre, frescos, refrigerados o congelados.",0.150000006
208100000,20810,1011,"Carnes y despojos comestibles de conejo o liebre, frescos, refrigerados o congelados.",0.150000006
208200000,20820,1011,"Ancas (patas) de rana, frescas, refrigeradas o congeladas.",
208200000,20820,1011,"Ancas (patas) de rana, frescas, refrigeradas o congeladas.",
208200000,20820,1011,"Ancas (patas) de rana, frescas, refrigeradas o congeladas.",
208300000,20830,1011,"Carnes y despojos comestibles de primates, frescos, refrigerados o congelados.",0.150000006
